id,score
1500100557,293
1500100558,280
1500100559,435
1500100560,360
1500100561,387
1500100562,445
1500100563,536
1500100564,374
1500100565,408
1500100566,515
1500100567,331
1500100568,196
1500100569,430
1500100570,390
1500100571,219
1500100572,550
1500100573,446
1500100574,424
1500100575,271
1500100576,508
1500100577,302
1500100578,397
1500100579,342
1500100580,546
1500100581,445
1500100582,456
1500100583,265
1500100584,346
1500100585,162
1500100586,324
1500100587,381
1500100588,433
1500100589,155
1500100590,530
1500100591,199
1500100592,258
1500100593,347
1500100594,390
1500100595,461
1500100596,587
1500100597,302
1500100598,551
1500100599,443
1500100600,361
1500100601,441
1500100602,310
1500100603,469
1500100604,332
1500100605,359
1500100606,324
1500100607,365
1500100608,330
1500100609,343
1500100610,484
1500100611,350
1500100612,291
1500100613,375
1500100614,470
1500100615,288
1500100616,402
1500100617,480
1500100618,309
1500100619,387
1500100620,512
1500100621,426
1500100622,345
1500100623,526
1500100624,317
1500100625,281
1500100626,240
1500100627,402
1500100628,421
1500100629,407
1500100630,354
1500100631,465
1500100632,379
1500100633,369
1500100634,479
1500100635,534
1500100636,374
1500100637,400
1500100638,419
1500100639,297
1500100640,521
1500100641,430
1500100642,370
1500100643,404
1500100644,549
1500100645,492
1500100646,338
1500100647,416
1500100648,320
1500100649,356
1500100650,343
1500100651,492
1500100652,391
1500100653,247
1500100654,357
1500100655,390
1500100656,233
1500100657,354
1500100658,499
1500100659,214
1500100660,278
1500100661,303
1500100662,333
1500100663,391
1500100664,358
1500100665,283
1500100666,328
1500100667,400
1500100668,373
1500100669,314
1500100670,445
1500100671,286
1500100672,348
1500100673,299
1500100674,305
1500100675,378
1500100676,354
1500100677,305
1500100678,218
1500100679,460
1500100680,429
1500100681,292
1500100682,399
1500100683,362
1500100684,322
1500100685,349
1500100686,479
1500100687,436
1500100688,466
1500100689,381
1500100690,435
1500100691,336
1500100692,462
1500100693,319
1500100694,320
1500100695,421
1500100696,466
1500100697,531
1500100698,277
1500100699,251
1500100700,331
1500100701,496
1500100702,270
1500100703,317
1500100704,286
1500100705,449
1500100706,421
1500100707,463
1500100708,269
1500100709,198
1500100710,407
1500100711,339
1500100712,198
1500100713,293
1500100714,498
1500100715,246
1500100716,560
1500100717,387
1500100718,265
1500100719,314
1500100720,374
1500100721,260
1500100722,289
1500100723,363
1500100724,440
1500100725,373
1500100726,353
1500100727,322
1500100728,401
1500100729,491
1500100730,455
1500100731,404
1500100732,347
1500100733,499
1500100734,469
1500100735,435
1500100736,384
1500100737,348
1500100738,336
1500100739,517
1500100740,256
1500100741,358
1500100742,359
1500100743,437
1500100744,269
1500100745,419
1500100746,333
1500100747,381
1500100748,424
1500100749,240
1500100750,487
1500100751,432
1500100752,362
1500100753,333
1500100754,406
1500100755,357
1500100756,413
1500100757,267
1500100758,188
1500100759,365
1500100760,458
1500100761,361
1500100762,524
1500100763,420
1500100764,360
1500100765,372
1500100766,388
1500100767,289
1500100768,482
1500100769,368
1500100770,471
1500100771,452
1500100772,254
1500100773,492
1500100774,314
1500100775,237
1500100776,418
1500100777,319
1500100778,438
1500100779,394
1500100780,333
1500100781,461
1500100782,303
1500100783,408
1500100784,472
1500100785,370
1500100786,301
1500100787,439
1500100788,295
1500100789,438
1500100790,424
1500100791,417
1500100792,363
1500100793,254
1500100794,391
1500100795,435
1500100796,347
1500100797,250
1500100798,376
1500100799,429
1500100800,337
1500100801,390
1500100802,336
1500100803,292
1500100804,390
1500100805,447
1500100806,507
1500100807,518
1500100808,430
1500100809,287
1500100810,301
1500100811,237
1500100812,301
1500100813,414
1500100814,180
1500100815,294
1500100816,246
1500100817,316
1500100818,378
1500100819,280
1500100820,322
1500100821,242
1500100822,269
1500100823,547
1500100824,379
1500100825,353
1500100826,439
1500100827,417
1500100828,519
1500100829,314
1500100830,392
1500100831,493
1500100832,391
1500100833,384
1500100834,586
1500100835,358
1500100836,403
1500100837,479
1500100838,351
1500100839,557
1500100840,366
1500100841,348
1500100842,446
1500100843,339
1500100844,285
1500100845,475
1500100846,402
1500100847,445
1500100848,395
1500100849,440
1500100850,398
1500100851,249
1500100852,532
1500100853,515
1500100854,366
1500100855,362
1500100856,429
1500100857,296
1500100858,331
1500100859,303
1500100860,309
1500100861,170
1500100862,490
1500100863,220
1500100864,291
1500100865,377
1500100866,345
1500100867,317
1500100868,318
1500100869,435
1500100870,447
1500100871,569
1500100872,234
1500100873,612
1500100874,495
1500100875,595
1500100876,384
1500100877,523
1500100878,412
1500100879,398
1500100880,317
1500100881,327
1500100882,358
1500100883,362
1500100884,426
1500100885,401
1500100886,358
1500100887,309
1500100888,227
1500100889,418
1500100890,254
1500100891,147
1500100892,380
1500100893,457
1500100894,371
1500100895,423
1500100896,409
1500100897,426
1500100898,238
1500100899,378
1500100900,562
1500100901,399
1500100902,360
1500100903,549
1500100904,562
1500100905,264
1500100906,292
1500100907,219
1500100908,271
1500100909,388
1500100910,463
1500100911,426
1500100912,376
1500100913,476
1500100914,405
1500100915,371
1500100916,348
1500100917,312
1500100918,459
1500100919,410
1500100920,232
1500100921,413
1500100922,516
1500100923,320
1500100924,357
1500100925,486
1500100926,473
1500100927,405
1500100928,364
1500100929,630
1500100930,589
1500100931,386
1500100932,435
1500100933,293
1500100934,535
1500100935,380
1500100936,318
1500100937,357
1500100938,425
1500100939,530
1500100940,363
1500100941,347
1500100942,249
1500100943,580
1500100944,262
1500100945,242
1500100946,353
1500100947,261
1500100948,448
1500100949,564
1500100950,475
1500100951,323
1500100952,482
1500100953,364
1500100954,533
1500100955,394
1500100956,288
1500100957,335
1500100958,322
1500100959,491
1500100960,340
1500100961,465
1500100962,309
1500100963,468
1500100964,330
1500100965,215
1500100966,324
1500100967,412
1500100968,320
1500100969,316
1500100970,534
1500100971,259
1500100972,432
1500100973,419
1500100974,515
1500100975,532
1500100976,423
1500100977,434
1500100978,263
1500100979,348
1500100980,306
1500100981,377
1500100982,332
1500100983,369
1500100984,310
1500100985,243
1500100986,388
1500100987,499
1500100988,216
1500100989,349
1500100990,422
1500100991,76
1500100992,407
1500100993,386
1500100994,310
1500100995,227
1500100996,355
1500100997,293
1500100998,398
1500100999,371
1500101000,379
